"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$length_ride.seconds."
"1","casual",1,1678.01338730944
"2","member",1,858.119821985338
"3","casual",2,1495.35260695187
"4","member",2,739.777102673962
"5","casual",3,1279.88137490944
"6","member",3,715.012359946121
"7","casual",4,1248.59032261503
"8","member",4,719.359714049283
"9","casual",5,1286.94973745338
"10","member",5,728.422238443102
"11","casual",6,1348.38273138316
"12","member",6,743.014197712317
"13","casual",7,1601.23315755305
"14","member",7,852.679654272351
